epoch,train Loss,training accuracy,val_accurate
1,0.824751318,0.565638234,0.365384615
2,0.747705281,0.700241984,0.546703297
3,0.800715387,0.74137931,0.673076923
4,0.59849906,0.798850575,0.752747253
5,0.399412483,0.849062311,0.711538462
6,0.357176751,0.897761645,0.714285714
7,0.155883804,0.935269208,0.662087912
8,0.07212501,0.967029643,0.634615385
9,0.082625918,0.984271022,0.717032967
10,0.049240328,0.986085904,0.675824176
11,0.045489769,0.984271022,0.717032967
12,0.023725273,0.996672716,0.703296703
13,0.008760337,0.997882638,0.675824176
14,0.003682306,0.998185118,0.752747253
15,0.003333519,0.99969752,0.744505495
16,0.005070168,0.998185118,0.744505495
17,0.005096831,0.994555354,0.703296703
18,0.062255722,0.992135511,0.57967033
19,0.011510404,0.995160315,0.708791209
20,0.006934805,0.999395039,0.708791209
21,0.012552137,0.996975197,0.695054945
22,0.016740898,0.991833031,0.711538462
23,0.070455596,0.990018149,0.596153846
24,0.051607411,0.980036298,0.645604396
25,0.034434304,0.983666062,0.631868132
26,0.046096239,0.989110708,0.708791209
27,0.058235105,0.990623109,0.700549451
28,0.026737902,0.996067756,0.722527473
29,0.012229276,0.998185118,0.678571429
30,0.001397048,0.99969752,0.733516484
31,0.003701424,1,0.733516484
32,0.001345077,1,0.741758242
33,0.000532424,1,0.747252747
34,0.000424327,1,0.744505495
35,0.000310588,1,0.744505495
36,0.000386085,1,0.747252747
37,0.000196598,1,0.744505495
38,0.00113564,1,0.747252747
39,0.000599146,1,0.747252747
40,0.000364629,1,0.747252747
41,0.000605952,1,0.744505495
42,0.001075946,1,0.741758242
43,0.000344365,1,0.75
44,0.000322292,1,0.739010989
45,0.000227961,1,0.736263736
46,0.000280071,1,0.747252747
47,0.00036273,1,0.75
48,0.000128766,1,0.744505495
49,0.00014035,1,0.741758242
50,0.000117727,1,0.744505495
51,0.000120582,1,0.747252747
52,0.000260938,1,0.741758242
53,0.000143388,1,0.75
54,0.000102009,1,0.747252747
55,0.0001466,1,0.744505495
56,9.51E-05,1,0.739010989
57,0.000150536,1,0.747252747
58,0.000316275,1,0.744505495
59,0.000272353,1,0.744505495
60,0.000101671,1,0.747252747
61,0.00019682,1,0.744505495
62,8.45E-05,1,0.755494505
63,0.000504186,1,0.75
64,0.000105144,1,0.747252747
65,6.39E-05,1,0.758241758
66,0.000130235,1,0.744505495
67,0.000150707,1,0.747252747
68,0.000144351,1,0.741758242
69,0.000124614,1,0.741758242
70,0.000268247,1,0.744505495
71,0.000109027,1,0.747252747
72,0.000123808,1,0.752747253
73,6.14E-05,1,0.755494505
74,0.000127485,1,0.752747253
75,0.000139066,1,0.75
76,0.000402597,1,0.75
77,0.000108484,1,0.744505495
78,0.000124361,1,0.752747253
79,7.88E-05,1,0.744505495
80,7.01E-05,1,0.752747253
81,0.000104756,1,0.75
82,8.35E-05,1,0.75
83,9.58E-05,1,0.744505495
84,0.000309327,1,0.75
85,4.52E-05,1,0.744505495
86,7.54E-05,1,0.75
87,7.59E-05,1,0.75
88,8.89E-05,1,0.75
89,9.40E-05,1,0.747252747
90,0.000107308,1,0.75
91,8.78E-05,1,0.75
92,5.98E-05,1,0.747252747
93,7.05E-05,1,0.747252747
94,5.74E-05,1,0.747252747
95,0.000152437,1,0.755494505
96,0.000106766,1,0.755494505
97,6.58E-05,1,0.75
98,4.23E-05,1,0.75
99,9.90E-05,1,0.755494505
100,2.37E-05,1,0.752747253
,2.3714E-05,1,0.758241758
