epoch,train Loss,training accuracy,val_accurate
1,1.045361638,0.490320629,0.324175824
2,0.789681911,0.640653358,0.585164835
3,0.729773402,0.745311555,0.57967033
4,0.512531102,0.789473684,0.684065934
5,0.418264717,0.870840895,0.57967033
6,0.384636462,0.884452511,0.541208791
7,0.196489021,0.908953418,0.431318681
8,0.194976091,0.94676346,0.684065934
9,0.058863893,0.969449486,0.681318681
10,0.096734062,0.974894132,0.634615385
11,0.034305729,0.986993345,0.67032967
12,0.00509967,0.994252874,0.67032967
13,0.124645203,0.987598306,0.667582418
14,0.07085789,0.978826376,0.626373626
15,0.058209222,0.985480944,0.651098901
16,0.114971988,0.980943739,0.626373626
17,0.088111609,0.975801573,0.648351648
18,0.132896408,0.972474289,0.585164835
19,0.034235839,0.970356927,0.662087912
20,0.073555306,0.978826376,0.659340659
21,0.022050073,0.985178463,0.607142857
22,0.007667878,0.989413188,0.631868132
23,0.008876395,0.993042952,0.684065934
24,0.013603031,0.996975197,0.675824176
25,0.030272292,0.996067756,0.675824176
26,0.014721045,0.997882638,0.67032967
27,0.000826096,0.999395039,0.67032967
28,0.004560832,1,0.67032967
29,0.004680613,1,0.667582418
30,0.000664501,1,0.67032967
31,0.000363097,1,0.67032967
32,0.000130751,1,0.678571429
33,0.001053223,1,0.67032967
34,0.000109779,1,0.673076923
35,0.001106102,1,0.684065934
36,9.35E-05,1,0.673076923
37,0.000151424,1,0.673076923
38,6.79E-05,1,0.675824176
39,0.000290187,1,0.684065934
40,6.99E-05,1,0.684065934
41,0.000130335,1,0.678571429
42,7.74E-05,1,0.684065934
43,7.11E-05,1,0.68956044
44,0.000111383,1,0.68956044
45,0.00018748,1,0.695054945
46,0.00057319,1,0.684065934
47,0.00011457,1,0.686813187
48,0.00094226,1,0.686813187
49,7.84E-05,1,0.681318681
50,5.95E-05,1,0.684065934
51,8.09E-05,1,0.681318681
52,4.73E-05,1,0.678571429
53,5.97E-05,1,0.684065934
54,0.000126894,1,0.686813187
55,9.52E-05,1,0.692307692
56,2.42E-05,1,0.68956044
57,6.56E-05,1,0.68956044
58,0.000475429,1,0.681318681
59,3.31E-05,1,0.684065934
60,2.43E-05,1,0.684065934
61,7.84E-05,1,0.684065934
62,5.44E-05,1,0.684065934
63,3.64E-05,1,0.681318681
64,3.30E-05,1,0.68956044
65,1.53E-05,1,0.686813187
66,5.44E-05,1,0.686813187
67,2.99E-05,1,0.68956044
68,3.81E-05,1,0.692307692
69,2.22E-05,1,0.68956044
70,0.00010139,1,0.695054945
71,1.83E-05,1,0.68956044
72,0.000325945,1,0.686813187
73,7.16E-05,1,0.692307692
74,4.80E-05,1,0.681318681
75,1.71E-05,1,0.692307692
76,0.000140284,1,0.681318681
77,2.36E-05,1,0.68956044
78,1.96E-05,1,0.686813187
79,3.49E-05,1,0.692307692
80,1.65E-05,1,0.68956044
81,3.24E-05,1,0.68956044
82,0.000158134,1,0.684065934
83,1.84E-05,1,0.681318681
84,7.42E-05,1,0.68956044
85,2.95E-05,1,0.68956044
86,3.46E-05,1,0.684065934
87,2.26E-05,1,0.684065934
88,1.91E-05,1,0.695054945
89,1.10E-05,1,0.684065934
90,9.33E-05,1,0.695054945
91,0.000102249,1,0.692307692
92,1.51E-05,1,0.692307692
93,3.38E-05,1,0.68956044
94,1.97E-05,1,0.686813187
95,1.13E-05,1,0.684065934
96,1.60E-05,1,0.686813187
97,2.55E-05,1,0.686813187
98,6.13E-05,1,0.686813187
99,4.76E-05,1,0.695054945
100,5.26E-05,1,0.695054945
,2.4174E-05,1,0.695054945
