epoch,train Loss,training accuracy,val_accurate
1,1.276800871,0.346339988,0.445054945
2,1.502493262,0.460677556,0.464285714
3,0.888200462,0.540834846,0.549450549
4,0.876660943,0.588324259,0.585164835
5,1.000255942,0.614942529,0.623626374
6,0.899032891,0.649727768,0.667582418
7,0.57460475,0.673321234,0.626373626
8,0.705334961,0.677253479,0.637362637
9,0.630742908,0.702359347,0.67032967
10,0.797519863,0.720810647,0.664835165
11,0.85200119,0.726255293,0.673076923
12,0.654474556,0.719600726,0.67032967
13,0.609351814,0.741681791,0.629120879
14,0.672673225,0.757108288,0.675824176
15,0.769335091,0.775559589,0.664835165
16,0.40571636,0.782214156,0.662087912
17,0.709143043,0.786751361,0.703296703
18,1.083445191,0.809437387,0.684065934
19,0.534538031,0.802480339,0.678571429
20,0.540711701,0.830913491,0.653846154
21,0.573885679,0.820024198,0.695054945
22,0.347887754,0.837568058,0.703296703
23,0.325159311,0.846037508,0.678571429
24,0.463999301,0.862068966,0.656593407
25,0.323580027,0.867816092,0.695054945
26,0.270413518,0.881125227,0.67032967
27,0.155361697,0.862371446,0.664835165
28,0.413975477,0.880520266,0.717032967
29,0.263858616,0.898366606,0.711538462
30,0.181374446,0.905928615,0.686813187
31,0.260832697,0.913490623,0.681318681
32,0.3963615,0.922262553,0.703296703
33,0.215330005,0.921355112,0.684065934
34,0.287521452,0.896249244,0.68956044
35,0.170403183,0.934059286,0.673076923
36,0.234726861,0.951300665,0.664835165
37,0.098544516,0.951603146,0.675824176
38,0.132845521,0.952208106,0.71978022
39,0.33679086,0.926194797,0.692307692
40,0.137308866,0.933454325,0.67032967
41,0.116411276,0.940411373,0.68956044
42,0.177510768,0.940108893,0.686813187
43,0.189405054,0.949485783,0.686813187
44,0.144347578,0.969449486,0.706043956
45,0.014953836,0.969449486,0.695054945
46,0.470147401,0.940411373,0.662087912
47,0.084364973,0.933151845,0.692307692
48,0.085624576,0.957955233,0.714285714
49,0.058027405,0.966727163,0.684065934
50,0.174733371,0.9646098,0.711538462
51,0.085429586,0.95493043,0.684065934
52,0.167496815,0.960072595,0.686813187
53,0.102515049,0.960072595,0.692307692
54,0.085814178,0.966122202,0.697802198
55,0.335266471,0.950393224,0.703296703
56,0.040688705,0.947368421,0.717032967
57,0.062971085,0.965214761,0.656593407
58,0.101355158,0.969449486,0.67032967
59,0.239489764,0.960677556,0.684065934
60,0.066843808,0.962492438,0.714285714
61,0.036928874,0.974289171,0.714285714
62,0.122373067,0.969147005,0.67032967
63,0.118674211,0.971264368,0.730769231
64,0.059715305,0.969751966,0.675824176
65,0.14014481,0.966122202,0.686813187
66,0.260114759,0.957350272,0.695054945
67,0.047864437,0.962492438,0.697802198
68,0.112057492,0.980641258,0.700549451
69,0.045124896,0.976104053,0.700549451
70,0.118722901,0.969147005,0.700549451
71,0.113346815,0.963097399,0.692307692
72,0.104243778,0.957955233,0.673076923
73,0.062138058,0.967332123,0.697802198
74,0.025670622,0.974289171,0.684065934
75,0.219444066,0.965819722,0.708791209
76,0.038899496,0.977616455,0.684065934
77,0.150601819,0.976709014,0.678571429
78,0.011882184,0.974894132,0.695054945
79,0.003458335,0.981246219,0.695054945
80,0.01287426,0.981246219,0.703296703
81,0.017196486,0.986388385,0.68956044
82,0.029603194,0.985480944,0.700549451
83,0.049147919,0.983968542,0.68956044
84,0.03147896,0.962189958,0.678571429
85,0.149781033,0.96430732,0.695054945
86,0.05571454,0.974591652,0.71978022
87,0.134996608,0.977313975,0.71978022
88,0.199490413,0.974289171,0.733516484
89,0.08360409,0.969751966,0.681318681
90,0.007381401,0.977011494,0.728021978
91,0.0101655,0.976104053,0.728021978
92,0.065682635,0.977313975,0.664835165
93,0.095419258,0.958560194,0.678571429
94,0.066198185,0.943436177,0.697802198
95,0.164972708,0.966122202,0.697802198
96,0.083835974,0.976104053,0.681318681
97,0.089497693,0.976406534,0.686813187
98,0.023689384,0.983061101,0.678571429
99,0.004647872,0.978826376,0.681318681
100,0.027470844,0.985783424,0.695054945
,0.003458335,0.986388385,0.733516484
