epoch,train Loss,training accuracy,val_accurate
1,1.50250864,0.327586207,0.35989011
2,1.341093659,0.429824561,0.398351648
3,1.47859025,0.416212946,0.436813187
4,1.279932141,0.453115547,0.478021978
5,1.244980097,0.469751966,0.458791209
6,1.187607408,0.505444646,0.516483516
7,0.681565881,0.498185118,0.43956044
8,1.107303262,0.504839685,0.557692308
9,1.112880468,0.555051422,0.516483516
10,1.157376647,0.552329099,0.565934066
11,1.147063971,0.532365396,0.521978022
12,1.457050323,0.534482759,0.565934066
13,1.112728477,0.565033273,0.593406593
14,0.991262257,0.571990321,0.576923077
15,0.618298233,0.585601936,0.554945055
16,1.149113059,0.574712644,0.563186813
17,1.138859153,0.588324259,0.593406593
18,1.464991808,0.604960678,0.612637363
19,0.579579473,0.600725953,0.620879121
20,0.923981369,0.60738052,0.612637363
21,1.299761176,0.622807018,0.552197802
22,1.111712813,0.626436782,0.645604396
23,0.780450225,0.638838475,0.60989011
24,1.033106089,0.648517846,0.623626374
25,1.182250977,0.657894737,0.596153846
26,0.996427059,0.665154265,0.634615385
27,0.718218446,0.670901391,0.645604396
28,0.745963752,0.659709619,0.620879121
29,0.858396232,0.664851785,0.623626374
30,1.103038192,0.656079855,0.642857143
31,0.474858761,0.657289776,0.648351648
32,0.8004843,0.64246824,0.637362637
33,0.94223994,0.674833636,0.64010989
34,0.563714683,0.667271627,0.648351648
35,0.433234453,0.671203872,0.637362637
36,0.344896913,0.672413793,0.664835165
37,0.820237458,0.682093164,0.634615385
38,0.796766877,0.686327889,0.593406593
39,0.720168471,0.624319419,0.590659341
40,1.336112857,0.483363581,0.343406593
41,1.442395449,0.404416213,0.508241758
42,0.908759117,0.511796733,0.543956044
43,1.450332165,0.543859649,0.590659341
44,0.908023357,0.596793708,0.60989011
45,1.085463166,0.594071385,0.596153846
46,1.277370811,0.611312765,0.596153846
47,1.103160739,0.61615245,0.626373626
48,0.622667193,0.648215366,0.64010989
49,0.803611457,0.647307925,0.593406593
50,0.677349329,0.644283122,0.612637363
51,0.837530255,0.636116152,0.637362637
52,1.104481816,0.593768905,0.582417582
53,0.908623874,0.604960678,0.626373626
54,1.0112046,0.492437992,0.516483516
55,1.073384643,0.525105868,0.585164835
56,1.056330681,0.618874773,0.604395604
57,0.921295524,0.6246219,0.645604396
58,0.606161177,0.637628554,0.629120879
59,0.588746071,0.64246824,0.601648352
60,1.004348874,0.66031458,0.645604396
61,0.886921406,0.649425287,0.620879121
62,0.983007431,0.551421658,0.557692308
63,1.177260518,0.558983666,0.543956044
64,1.169851899,0.552934059,0.472527473
65,1.51585269,0.569872958,0.543956044
66,1.333841562,0.577737447,0.629120879
67,0.600962162,0.611312765,0.593406593
68,1.512318373,0.618269812,0.585164835
69,0.679928839,0.612220206,0.585164835
70,0.953787923,0.591349062,0.596153846
71,1.298878431,0.604053237,0.620879121
72,1.000247836,0.550211736,0.472527473
73,0.829080939,0.535087719,0.527472527
74,1.135651469,0.565033273,0.521978022
75,1.182182074,0.557168784,0.497252747
76,0.888184428,0.558983666,0.532967033
77,0.942313313,0.573200242,0.527472527
78,0.890830159,0.579249849,0.543956044
79,0.94912231,0.587114338,0.574175824
80,1.002663493,0.58076225,0.549450549
81,1.587069988,0.58892922,0.60989011
82,1.296238184,0.57108288,0.510989011
83,1.04047513,0.532667877,0.549450549
84,1.229097605,0.596491228,0.563186813
85,0.976399779,0.585299456,0.60989011
86,0.735233605,0.581367211,0.576923077
87,0.515017211,0.608590442,0.596153846
88,1.292900681,0.555958863,0.510989011
89,1.167873263,0.566243194,0.565934066
90,1.319663048,0.599818512,0.596153846
91,1.046830773,0.618874773,0.604395604
92,0.809680343,0.586206897,0.516483516
93,1.361828446,0.516333938,0.381868132
94,1.1523844,0.448578342,0.489010989
95,1.068384528,0.458560194,0.423076923
96,0.969044387,0.462794918,0.483516484
97,0.937590003,0.461887477,0.409340659
98,1.717975378,0.44676346,0.436813187
99,1.265386581,0.448578342,0.447802198
100,1.306697607,0.452510587,0.431318681
,0.344896913,0.686327889,0.664835165
,,.,
